name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only,latitude,longitude
Mt. Ashwabay,https://www.skiresort.info/ski-resort/mt-ashwabay-salmo/,35.0,1004,1276,272,2.0,Wisconsin,65.0,120,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,46.7771989913976,-90.8945027136377
Mt. Bachelor,https://www.skiresort.info/ski-resort/mt-bachelor/,224.0,5699,9065,3366,61.0,Oregon,4323.0,462,Powdr,0,0,0,0,0,1,0,7,1,3,0,0,0,0,0,0,0,3,15,No,44.0026767292127,-121.678658696209
Mt. Baker,https://www.skiresort.info/ski-resort/mt-baker/,94.27,3510,5105,1594,16.0,Washington,1000.0,701,Independent,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,9,No,48.8618315027041,-121.654790071555
Mount Baldy,https://www.skiresort.info/ski-resort/mt-baldy/,115.0,6486,8596,2110,12.0,California,800.0,170,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,No,34.2700526644504,-117.621860023037
Mount Bohemia,https://www.skiresort.info/ski-resort/mt-bohemia/,95.0,623,1460,837,8.0,Michigan,585.0,273,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,No,47.3878041398726,-88.0207536933831
Mt. Brighton,https://www.skiresort.info/ski-resort/mt-brighton/,117.0,935,1115,180,4.0,Michigan,130.0,60,Vail Resorts,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,2,12,No,42.5407515363666,-83.8115629359673
Mt. Crescent,https://www.skiresort.info/ski-resort/mt-crescent/,44.0,1201,1499,299,1.0,Iowa,50.0,30,Independent,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,No,41.3942508584616,-95.8605955960958
Mt. Eustis,https://www.skiresort.info/ski-resort/mt-eustis-littleton/,0.0,984,1263,279,1.0,New Hampshire,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,44.2973722928387,-71.7736434606393
Mt. Eyak,https://www.skiresort.info/ski-resort/mt-eyak/,30.0,400,1201,801,3.0,Alaska,100.0,350,Independent,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,No,60.5498646477259,-145.74962083997
Mt. Holiday,https://www.skiresort.info/ski-resort/mt-holiday/,40.0,689,899,210,3.0,Michigan,45.0,120,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,No,44.7434259068089,-85.5145007762381
Mt. Holly,https://www.skiresort.info/ski-resort/mt-holly/,69.0,968,1247,279,4.0,Michigan,100.0,42,Wisconsin Resorts,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,4,2,13,No,42.8308312552577,-83.5643272460833
